customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag
1001,56.0,Female,South,Secondary,Unemployed,301964.11805141805,504782.7527014752,Car,658.5648229566841,2,256,0.8,2025-03-04,0
1002,69.0,Female,West,Post-Graduate,Salaried,918544.2293095808,163046.71085803417,Business,662.8106429236148,1,375,1.37,2019-04-02,0
1003,46.0,Male,South,Secondary,Salaried,793442.1070233737,360262.75424259074,Car,777.6226395605623,11,338,0.73,2018-04-13,0
1004,32.0,Female,West,Primary,Salaried,975489.174349356,185841.3221124073,Education,625.1941181380744,4,68,0.88,2021-01-31,0
1005,60.0,Female,North,Graduate,Salaried,315311.11893118673,203195.53801409784,Car,,5,134,0.82,2020-09-30,0
1006,25.0,Female,North,Secondary,Salaried,826783.6223863171,218392.04103386521,Car,699.3396361612489,0,174,0.78,2020-07-03,0
1007,,Male,North,Post-Graduate,Salaried,641335.1656133593,211652.3852558251,Other,677.9821215384608,11,156,1.21,2019-07-26,0
1008,56.0,Male,East,Post-Graduate,Salaried,735947.0024813823,212181.57475186995,Education,622.1676315152343,10,186,0.88,2019-02-24,0
1009,36.0,Male,East,Graduate,Unemployed,644210.0914547773,493183.9686332554,Home,659.6483205846002,5,340,0.61,2024-02-12,0
1010,40.0,Female,North,Primary,Salaried,835901.9818700325,274499.7382992629,Car,642.5073790853719,9,218,0.54,2018-12-23,0
1011,,Female,East,Graduate,,659281.7197521051,300297.12933592557,Home,,2,90,0.25,2024-08-15,0
1012,28.0,Female,West,Primary,Salaried,437021.2687360777,213505.95813656854,Education,,3,26,0.96,2022-09-25,0
1013,41.0,Male,South,Primary,Self-Employed,721606.3546965477,411872.72135735035,Car,576.9937178998217,5,219,0.5,2018-05-11,0
1014,70.0,Female,South,Graduate,Salaried,646456.3657161249,320464.9340188282,Other,649.503864685354,7,355,0.39,2018-05-03,0
1015,53.0,Male,South,Secondary,Salaried,679151.5947177791,229931.26095546214,Business,643.8641442057062,8,86,1.05,2019-01-19,0
1016,57.0,Male,North,Secondary,Salaried,150000.0,121522.9063577514,Other,665.7474816134904,5,157,1.09,2020-06-14,0
1017,41.0,Male,East,Post-Graduate,Unemployed,870659.0208921763,298984.8640547235,Other,613.4042718238935,6,261,1.18,2020-08-10,0
